biomarkers,n_tests,coverage,worst_case_sensitivity,cost_eur,time_min,sample_ul,pathologies_covered,pathologies_uncovered,pareto_optimal
"Copeptin, Myoglobin, Procalcitonin, hs-cTnI",4,0.16666666666666666,0.3,55.0,20.0,100.0,1,"Acute Heart Failure, Aortic Dissection, Pericarditis / Myocarditis, Pneumothorax (tension), Pulmonary Embolism",False
"H-FABP, Myoglobin, Procalcitonin, hs-cTnI",4,0.16666666666666666,0.1,45.5,20.0,60.0,1,"Acute Heart Failure, Aortic Dissection, Pericarditis / Myocarditis, Pneumothorax (tension), Pulmonary Embolism",False
"CRP, Copeptin, D-dimer, NT-proBNP",4,0.6666666666666666,0.3,43.5,20.0,85.0,4,"ACS (STEMI/NSTEMI/UA), Pneumothorax (tension)",False
"CRP, D-dimer, H-FABP, NT-proBNP",4,0.6666666666666666,0.2,34.0,15.0,45.0,4,"ACS (STEMI/NSTEMI/UA), Pneumothorax (tension)",False
"CRP, D-dimer, Myoglobin, NT-proBNP",4,0.6666666666666666,0.2,32.5,15.0,45.0,4,"ACS (STEMI/NSTEMI/UA), Pneumothorax (tension)",False
"CRP, D-dimer, NT-proBNP, Procalcitonin",4,0.6666666666666666,0.2,47.0,20.0,55.0,4,"ACS (STEMI/NSTEMI/UA), Pneumothorax (tension)",False
"Copeptin, D-dimer, H-FABP, NT-proBNP",4,0.5,0.3,46.5,20.0,90.0,3,"ACS (STEMI/NSTEMI/UA), Pericarditis / Myocarditis, Pneumothorax (tension)",False
"Copeptin, D-dimer, Myoglobin, NT-proBNP",4,0.5,0.3,45.0,20.0,90.0,3,"ACS (STEMI/NSTEMI/UA), Pericarditis / Myocarditis, Pneumothorax (tension)",False
"Copeptin, D-dimer, NT-proBNP, Procalcitonin",4,0.5,0.3,59.5,20.0,100.0,3,"ACS (STEMI/NSTEMI/UA), Pericarditis / Myocarditis, Pneumothorax (tension)",False
"D-dimer, H-FABP, Myoglobin, NT-proBNP",4,0.5,0.2,35.5,15.0,50.0,3,"ACS (STEMI/NSTEMI/UA), Pericarditis / Myocarditis, Pneumothorax (tension)",False
"D-dimer, H-FABP, NT-proBNP, Procalcitonin",4,0.5,0.2,50.0,20.0,60.0,3,"ACS (STEMI/NSTEMI/UA), Pericarditis / Myocarditis, Pneumothorax (tension)",False
"D-dimer, Myoglobin, NT-proBNP, Procalcitonin",4,0.5,0.2,48.5,20.0,60.0,3,"ACS (STEMI/NSTEMI/UA), Pericarditis / Myocarditis, Pneumothorax (tension)",False
"CRP, Copeptin, D-dimer, H-FABP",4,0.5,0.3,37.5,20.0,80.0,3,"ACS (STEMI/NSTEMI/UA), Acute Heart Failure, Pneumothorax (tension)",False
"CRP, Copeptin, D-dimer, Myoglobin",4,0.5,0.3,36.0,20.0,80.0,3,"ACS (STEMI/NSTEMI/UA), Acute Heart Failure, Pneumothorax (tension)",False
"CRP, Copeptin, D-dimer, Procalcitonin",4,0.5,0.3,50.5,20.0,90.0,3,"ACS (STEMI/NSTEMI/UA), Acute Heart Failure, Pneumothorax (tension)",False
"CRP, D-dimer, H-FABP, Myoglobin",4,0.5,0.15,26.5,15.0,40.0,3,"ACS (STEMI/NSTEMI/UA), Acute Heart Failure, Pneumothorax (tension)",False
